num,zid,pid,stock
1,738bb6acab7ea90210644ee117c568bd,pop8010070874,NotExists
1,738bb6acab7ea90210644ee117c568bd,pop8009718584,NotExists
2,b3916d08f46a506149a56d83a4b1f49a,pop8009072534,NotExists
3,52fef2b7060494529ef12ede57070471,pop8008466118,NotExists
4,7b058389d651c74bd4eb2bc0fc26e727,pop8002297142,NotExists
5,b46d1d863570448c5b026411866eebbd,pop8010678558,NotExists
6,a45920e1b27d67b8050b799bc7363330,pop8006906192,NotExists
7,b9e39a63b8957199a1b07e5e7fc63608,pop8010493759,NotExists
8,f473a6352e47455d8a6853da96f65114,1122490397,NotExists
9,8642624428f4d4735d5d033079e6234a,1121710333,NotExists
10,d13679ecf65f7cc20e62afb351e17bf7,pop8007227437,NotExists
10,d13679ecf65f7cc20e62afb351e17bf7,pop8010627358,NotExists
10,d13679ecf65f7cc20e62afb351e17bf7,pop8010627358,NotExists
10,d13679ecf65f7cc20e62afb351e17bf7,pop8009968692,NotExists
11,0247066e32bd68b4ba21331d5cfeec9d,pop8001988195,NotExists
12,e02649e5d3c60b8c32dc49b3e6152de0,pop8010582814,NotExists
13,f7c7c95ca65fccdb3e4c303ec00c607b,pop8008966317,NotExists
14,ebacdc4bb77d7ce3538e6e7d7b8fe015,1130000690,NotExists
15,8fc651bb717d3d1cddc9f369de0b898f,1122910241,NotExists
16,cd97bccbad7f52e30251f3a00d94cc0c,pop8010685933,NotExists
17,64df19ed227239db1c8764ec8af1ec32,pop8010675509,NotExists
17,64df19ed227239db1c8764ec8af1ec32,pop8008668611,NotExists
17,64df19ed227239db1c8764ec8af1ec32,pop8008658597,NotExists
17,64df19ed227239db1c8764ec8af1ec32,pop8009891454,NotExists
18,11af9c1c57c09256d031542650e39688,pop8009652182,NotExists
18,11af9c1c57c09256d031542650e39688,pop8010024765,NotExists
19,76b751a9b4934c0504e57e95e5890611,pop8001525084,NotExists
19,76b751a9b4934c0504e57e95e5890611,pop8008832063,NotExists
19,76b751a9b4934c0504e57e95e5890611,pop8007946378,NotExists
20,826585bd94b82d0b49ee51583338a701,pop8010538842,NotExists
21,1815236bca4f9005dbe4d1208f1d349b,pop8006919479,NotExists
22,a2790a3a2dc058fde88a218a9035b954,pop8003839010,NotExists
23,5789ff7708ff7d60382c1dd18f3683a7,pop8002450140,NotExists
23,5789ff7708ff7d60382c1dd18f3683a7,pop8002450140,NotExists
23,5789ff7708ff7d60382c1dd18f3683a7,pop8002450140,NotExists
23,5789ff7708ff7d60382c1dd18f3683a7,pop8002450140,NotExists
23,5789ff7708ff7d60382c1dd18f3683a7,pop8002450140,NotExists
24,34f7b11591eed05a2d8442e59537ccff,1123340507,NotExists
24,34f7b11591eed05a2d8442e59537ccff,1123340508,NotExists
24,34f7b11591eed05a2d8442e59537ccff,1123340528,NotExists
25,5896e499765f54c12bd8a96a92668b14,pop8010027343,NotExists
26,d691dd64b0eabf5116fb47c8254b64bf,pop8003116495,NotExists
26,d691dd64b0eabf5116fb47c8254b64bf,pop8003116495,NotExists
27,89b303195098e053af3624dc87bcdb75,pop8006906192,NotExists
27,89b303195098e053af3624dc87bcdb75,pop8006906192,NotExists
27,89b303195098e053af3624dc87bcdb75,pop8006906192,NotExists
27,89b303195098e053af3624dc87bcdb75,pop8006906192,NotExists
28,8cbfc93a9e738f8a509eddae6c383c84,1000041418,NotExists
28,8cbfc93a9e738f8a509eddae6c383c84,1000041418,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,pop8008652837,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,pop8008652837,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,1130018204,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,pop8005305477,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,1130018204,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,pop8007887490,NotExists
29,8be55e4e4cbe8f8fc001c7a57b38b472,pop8005609740,NotExists
